word,frequency
newPos,4
wrongType,4
pw,4
inputStream,4
readOnly,4
then,4
invoker,4
doReturnValues,4
ExceptionIncludingMockitoWarnings,4
matcherName,4
ConcurrentHashMap,4
exported,4
silent,4
isPrimitiveOrWrapper,4
Predicate,4
awaitingInjectionClazz,4
needsExport,4
isSerializable,4
weakReferenceHatch,4
ByteBuddyCrossClassLoaderSerializationSupport,4
Strict,4
indexesOfMatchersToBeDescribedWithExtraTypeInfo,4
tryInvoke,4
GenericArrayType,4
isValidReturnType,4
handleConstruction,4
actualInvocation,4
isEnabled,4
VerificationEventImpl,4
methodType,4
reflectUpToClass,4
withCustomMapping,4
checkAtLeastNumberOfInvocations,4
tooFewActualInvocationsInOrder,4
classesHavingSameName,4
matchersBinder,4
getStubbings,4
assertGoodMock,4
PluginRegistry,4
argument4,4
MatchersBinder,4
unusedIterator,4
getSourceFile,4
getAll,4
ReturnsMoreEmptyValues,4
toStringWithType,4
BigDecimal,4
AsmVisitorWrapper,4
rawComponentType,3
PluginFileReader,3
RETURNS_MOCKS,3
ParameterizedConstructorInstantiator,3
configClass,3
buildStatic,3
assertLazily,3
AlternateType,3
CannotVerifyStubOnlyMock,3
resolved,3
lowerBounds,3
pluginClassNames,3
argumentsMatch,3
registerAnnotationProcessor,3
copiedList,3
reader,3
NeverWantedButInvoked,3
mockTransformer,3
KotlinInlineClassUtil,3
inferWantedArgumentPosition,3
implement,3
Answer4,3
Compiler,3
Answer5,3
Answer2,3
Answer3,3
setExtraInterfaces,3
Answer1,3
SimpleEntry,3
list,3
Answer6,3
NullResultGuardian,3
returnsEmptyValues,3
createObjectArray,3
returnsNull,3
inter,3
subType,3
hash,3
JVM_VERSION,3
varArgsCount,3
MockedStaticImpl,3
getStubbingArgMismatches,3
InjectMocksScanner,3
inferParameterizedType,3
wrongTypeOfReturnValue,3
missingMethodInvocation,3
usedAtLock,3
InvocationNotifierHandler,3
returnTypeForMockWithCorrectGenerics,3
defaultCleaner,3
getMockCreationSettings,3
outerInstanceHint,3
DefaultPluginSwitch,3
And,3
getMethods,3
mockA,3
mockB,3
SerializableRealMethodCall,3
typeMatches,3
ClassCastException,3
invocationsInOrder,3
ReturnsElementsOf,3
preferredPlugin,3
methodReturnType,3
RealMethodCall,3
