name,base,type,frequency
Rahmen,Rahmen,NN,1269712.28
Gesellschaft,Gesellschaft,NN,1267737.682
Mitte,Mitte,NN,1266905.842
9,9,CARD,1266574
kommenden,kommend,ADJA,1264421
dessen,die,PDAT,1264160.39
schließlich,schließlich,ADV,1262768
erstmals,erstmals,ADV,1261801
9,9,ADJA,1261473.965
Tagen,Tag,NN,1259302.485
laut,laut,APPR,1258058.112
Christian,Christian,NE,1255776
ebenso,ebenso,ADV,1254547
wenig,wenig,PIAT,1253935.846
ließ,lassen,VVFIN,1253087
12,12,ADJA,1250889
Jetzt,jetzt,ADV,1250109.284
Wort,Wort,NN,1243161
SV,SV,NE,1241201.654
zweite,zweit,ADJA,1241104
Hilfe,Hilfe,NN,1240484
meisten,meiste,PIAT,1239854.013
Ihre,Ihr|ihr,PPOSAT,1238860.112
ihr,ihr,PPER,1233978.998
machte,machen,VVFIN,1233932
Blick,Blick,NN,1231728
Foto,Foto,NN,1231151
finden,finden,VVINF,1229821.24
ganze,ganz,ADJA,1229468
Kosten,Kosten,NN,1229219.134
Über,über,APPR,1226399.085
deren,die,PDAT,1225444.321
Hand,Hand,NN,1224582.987
13,13,ADJA,1224214
Zeitung,Zeitung,NN,1224167.079
17,@ord@,ADJA,1223653
Höhe,Höhe,NN,1219149
Punkte,Punkt,NN,1216286.452
schwer,schwer,ADJD,1214491.356
Herren,Herr,NN,1213241.08
Problem,Problem,NN,1213193
zusammen,zusammen,PTKVZ,1211797.044
bringen,bringen,VVINF,1211347.042
16,16,ADJA,1207527
Fragen,Frage,NN,1206924.264
Du,du,PPER,1203932
Probleme,Problem,NN,1202130
Heute,heute,ADV,1199876.09
eigene,eigen,ADJA,1197757
anders,anders,ADV,1196839
Um,um,APPR,1195062.036
Richtung,Richtung,NN,1194802
Entscheidung,Entscheidung,NN,1194319
Zur,zur,APPRART,1193479
Spieler,Spieler,NN,1193463
Buch,Buch,NN,1193004
müsse,müssen,VMFIN,1191298
14,14,ADJA,1183637
Hamburg,Hamburg,NE,1183072
solche,solche,PIAT,1182349.937
2003,@card@,CARD,1177547
Form,Form,NN,1176374.863
Kritik,Kritik,NN,1175960
besteht,bestehen,VVFIN,1175318.559
Bürger,Bürger,NN,1173461
Seine,sein,PPOSAT,1173224.115
junge,jung,ADJA,1171558
Mutter,Mutter,NN,1170448
Projekt,Projekt,NN,1170229.394
Dieser,diese,PDAT,1169459.553
Lage,Lage,NN,1169002
Wochenende,Wochenende,NN,1167631.805
guten,gut,ADJA,1165431
Frankfurt,Frankfurt,NE,1163376.199
als,als,KON,1160397.558
gesagt,sagen,VVPP,1159598
Wasser,Wasser,NN,1155247
Wirtschaft,Wirtschaft,NN,1154806.109
6,6,CARD,1154236
2002,@card@,CARD,1150904
Abend,Abend,NN,1150436.111
Franz,Franz,NE,1150135
Vater,Vater,NN,1148737
gekommen,kommen,VVPP,1147921
bietet,bieten,VVFIN,1147017.823
2001,@card@,CARD,1146886
mich,ich,PPER,1145883.414
trotz,trotz,APPR,1144761.525
8,8,CARD,1142199
Internet,Internet,NN,1140422.73
kamen,kommen,VVFIN,1138746
beginnt,beginnen,VVFIN,1135623.977
Durch,durch,APPR,1130666.236
zuletzt,zuletzt,ADV,1129254
Nacht,Nacht,NN,1128701.221
Universität,Universität,NN,1128646
spielt,spielen,VVFIN,1127784.515
Da,da,KOUS,1127658.808
fand,finden,VVFIN,1127538
zuvor,zuvor,ADV,1126627.932
scheint,scheinen,VVFIN,1126063.677
müssen,müssen,VMINF,1125145.696
Nun,nun,ADV,1125122.591
21,21,ADJA,1123589
Deutsche,deutsch,ADJA,1123552.005
Verfügung,Verfügung,NN,1123000
Stelle,Stelle,NN,1122645.425
bekannt,bekannt,ADJD,1118535.954
Ergebnis,Ergebnis,NN,1118182
Politiker,Politiker,NN,1117260
andere,andere,PIS,1117034.432
paar,paar,PIAT,1115130.666
erneut,erneut,ADJD,1111998.102
Andreas,Andrea|Andreas,NE,1111897
Telefon,Telefon,NN,1110476
Monaten,Monat,NN,1109975.881
1999,1999,CARD,1109873
wer,wer,PWS,1106569
Frankreich,Frankreich,NE,1105336.072
II,II,CARD,1105287.864
Damen,Dame,NN,1104248.512
Während,während,KOUS,1101688.396
den,die,PRELS,1101186.36
30,30,ADJA,1099087
zudem,zudem,ADV,1097525
Wahl,Wahl,NN,1095542
einigen,einige,PIAT,1095067.982
Karl,Karl,NE,1095042
recht,recht,ADJD,1093634.773
Kreis,Kreis,NN,1093083
Besucher,Besucher,NN,1090821
gebracht,bringen,VVPP,1090645
erklärt,erklären,VVFIN,1084637.183
folgenden,folgend,ADJA,1083100
Sohn,Sohn,NN,1080933
blieb,bleiben,VVFIN,1080176
Neben,neben,APPR,1079757
jungen,jung,ADJA,1079576
Sein,sein,PPOSAT,1078457.582
letzte,letzt,ADJA,1078441
Kunst,Kunst,NN,1077041
völlig,völlig,ADJD,1074709
60,60,CARD,1074693
Einzelnachweise,Einzelnachweis,NN,1073261
gefunden,finden,VVPP,1071328
weniger,weniger,ADV,1071194.795
Dazu,dazu,PROAV,1068420
Zwei,zwei,CARD,1063257.949
nehmen,nehmen,VVINF,1060933.607
Als,als,KOUS,1058223.414
Grünen,Grüne,NN,1058106.713
inzwischen,inzwischen,ADV,1057628
Bevölkerung,Bevölkerung,NN,1056376
1998,1998,CARD,1055089
Tod,Tod,NN,1054355.683
leicht,leicht,ADJD,1053342.559
Amt,Amt,NN,1052920.351
gestellt,stellen,VVPP,1050253
Mitglied,Mitglied,NN,1049819
stellte,stellen,VVFIN,1046897
denn,denn,ADV,1046290.658
Situation,Situation,NN,1043349
25,25,ADJA,1043048
Klaus,Klaus,NE,1041492
Seiten,Seite,NN,1039789.233
Noch,noch,ADV,1037740.382
Müller,Müller,NE,1035668.753
Ausstellung,Ausstellung,NN,1032141
politischen,politisch,ADJA,1030674
Kilometer,Kilometer,NN,1026933
Schon,schon,ADV,1026716.283
bald,bald,ADV,1025964
Doch,doch,ADV,1025102.017
weiterhin,weiterhin,ADV,1023696
nahm,nehmen,VVFIN,1023470
Folge,Folge,NN,1022915.661
wichtig,wichtig,ADJD,1022155
beispielsweise,beispielsweise,ADV,1020149.094
gerne,gerne,ADV,1017098
verschiedenen,verschieden,ADJA,1014491
22,22,ADJA,1013315
während,während,KOUS,1011396.835
besten,gut,ADJA,1011206.687
Recht,Recht,NN,1009745.366
AG,AG,NN,1009701.014
Mädchen,Mädchen,NN,1009430.645
Zudem,zudem,ADV,1006990
Sache,Sache,NN,1006293
7,7,CARD,1002862
Franken,Franke|Franken,NN,1002541.328
liegen,liegen,VVFIN,1002307.072
zumindest,zumindest,ADV,1001034
Chance,Chance,NN,999550
Ihr,Ihr|ihr,PPOSAT,999053.7934
dritten,dritt,ADJA,998684
Dollar,Dollar,NN,998383
Markt,Markt,NN,998316.373
Firma,Firma,NN,997932
Allerdings,allerdings,ADV,997892.4345
nimmt,nehmen,VVFIN,996499
21,21,CARD,995933
Meinung,Meinung,NN,993163
Raum,Raum,NN,991438
